"str_cia_CVM","dte_refer","dt_publi"
"WHIRLPOOL S.A.","2011-03-31","2011-05-12"
"WHIRLPOOL S.A.","2011-06-30","2011-08-15"
"WHIRLPOOL S.A.","2011-09-30","2011-11-03"
"PARANAPANEMA S.A.","2011-03-31","2011-05-13"
"PARANAPANEMA S.A.","2011-06-30","2011-08-12"
"PARANAPANEMA S.A.","2011-09-30","2011-11-10"
"MAHLE-METAL LEVE S.A.","2011-03-31","2011-05-02"
"MAHLE-METAL LEVE S.A.","2011-06-30","2011-08-12"
"MAHLE-METAL LEVE S.A.","2011-09-30","2011-11-09"
"FLEURY S.A.","2011-03-31","2011-05-05"
"FLEURY S.A.","2011-06-30","2011-08-04"
"FLEURY S.A.","2011-09-30","2011-11-03"
"ITAU UNIBANCO HOLDING S.A.","2011-03-31","2011-05-03"
"ITAU UNIBANCO HOLDING S.A.","2011-06-30","2011-08-02"
"ITAU UNIBANCO HOLDING S.A.","2011-09-30","2011-11-01"
"MANGELS INDUSTRIAL S.A.","2011-03-31","2011-05-13"
"MANGELS INDUSTRIAL S.A.","2011-06-30","2011-08-12"
"MANGELS INDUSTRIAL S.A.","2011-09-30","2011-11-11"
"ROSSI RESIDENCIAL S.A.","2011-03-31","2011-05-12"
"ROSSI RESIDENCIAL S.A.","2011-06-30","2011-08-11"
"ROSSI RESIDENCIAL S.A.","2011-09-30","2011-11-10"
"MANUFATURA DE BRINQUEDOS ESTRELA S.A.","2011-03-31","2011-07-11"
"MANUFATURA DE BRINQUEDOS ESTRELA S.A.","2011-06-30","2011-08-15"
"MANUFATURA DE BRINQUEDOS ESTRELA S.A.","2011-09-30","2011-11-11"
"CAMBUCI S.A.","2011-03-31","2011-05-12"
"CAMBUCI S.A.","2011-06-30","2011-08-15"
"CAMBUCI S.A.","2011-09-30","2011-11-11"
"IOCHPE MAXION S.A.","2011-03-31","2011-05-10"
"IOCHPE MAXION S.A.","2011-06-30","2011-08-10"
"IOCHPE MAXION S.A.","2011-09-30","2011-11-09"
"SIDERURGICA J. L. ALIPERTI S.A.","2011-03-31","2011-05-13"
"SIDERURGICA J. L. ALIPERTI S.A.","2011-06-30","2011-08-12"
